station_id,horizon_hr,MAE,RMSE,MAPE,R2,Time_s
500101022,1,15.494,20.072,371.867,-0.006,6.249
500101022,2,15.468,20.050,390.993,-0.007,6.249
500101022,3,16.266,20.509,463.885,-0.056,6.249
500101022,4,15.497,20.009,412.840,-0.006,6.249
500101022,5,16.078,20.428,458.474,-0.057,6.249
500101022,6,15.470,20.039,417.561,-0.018,6.249
500101022,7,15.808,20.185,431.324,-0.045,6.249
500101022,8,14.929,19.748,375.304,-0.012,6.249
500101022,9,14.780,19.753,342.608,-0.008,6.249
500101022,10,15.557,19.998,429.586,-0.028,6.249
500101022,11,16.083,20.475,487.236,-0.067,6.249
500101022,12,14.952,20.024,385.115,-0.013,6.249
500101022,13,15.081,20.288,350.926,-0.039,6.249
500101022,14,15.042,19.609,455.850,-0.019,6.249
500101022,15,15.564,19.933,519.475,-0.068,6.249
500101022,16,15.733,20.029,523.400,-0.071,6.249
500101022,17,15.490,19.944,508.713,-0.061,6.249
500101022,18,14.941,19.594,465.590,-0.019,6.249
500101022,19,15.464,20.015,487.429,-0.028,6.249
500101022,20,15.153,19.796,448.522,-0.012,6.249
500101022,21,15.128,19.750,441.804,-0.010,6.249
500101022,22,14.893,19.646,409.670,0.002,6.249
500101022,23,14.927,19.700,425.281,-0.007,6.249
500101022,24,15.103,19.717,435.877,-0.001,6.249
500101022,25,15.248,19.824,434.058,-0.003,6.249
500101022,26,16.860,20.847,535.071,-0.109,6.249
500101022,27,15.681,20.042,461.633,-0.023,6.249
500101022,28,16.271,20.434,506.134,-0.062,6.249
500101022,29,15.366,19.788,392.830,0.006,6.249
500101022,30,15.246,19.920,366.776,-0.012,6.249
500101022,31,15.605,20.002,439.666,-0.002,6.249
500101022,32,15.614,20.176,376.507,-0.012,6.249
500101022,33,15.795,20.115,442.321,-0.006,6.249
500101022,34,15.785,20.154,422.277,-0.004,6.249
500101022,35,16.011,20.312,455.371,-0.008,6.249
500101022,36,16.102,20.341,488.055,-0.005,6.249
500101022,37,16.559,20.623,535.448,-0.029,6.249
500101022,38,16.032,20.481,413.695,-0.017,6.249
500101022,39,16.162,20.407,471.227,-0.005,6.249
500101022,40,15.807,20.231,408.142,-0.016,6.249
500101022,41,16.496,20.641,552.291,-0.067,6.249
500101022,42,15.718,20.145,446.434,-0.018,6.249
500101022,43,16.117,20.361,489.095,-0.009,6.249
500101022,44,16.151,20.376,452.380,0.003,6.249
500101022,45,16.111,20.458,413.108,-0.009,6.249
500101022,46,16.328,20.444,473.497,0.001,6.249
500101022,47,16.402,20.689,434.897,0.000,6.249
500101022,48,16.565,20.745,448.822,0.006,6.249
500101022,49,16.574,21.053,356.734,-0.023,6.249
500101022,50,16.832,21.427,334.705,-0.055,6.249
500101022,51,16.871,21.193,372.883,-0.020,6.249
500101022,52,16.983,21.231,395.681,-0.006,6.249
500101022,53,17.617,21.831,369.095,-0.046,6.249
500101022,54,17.672,21.522,430.974,-0.000,6.249
500101022,55,17.951,22.044,385.227,-0.039,6.249
500101022,56,18.478,22.592,365.352,-0.078,6.249
500101022,57,18.980,23.135,346.170,-0.115,6.249
500101022,58,18.585,22.721,370.498,-0.089,6.249
500101022,59,17.572,21.364,387.692,-0.027,6.249
500101022,60,18.006,21.727,335.995,-0.104,6.249
500101022,61,17.711,21.287,357.874,-0.054,6.249
500101022,62,18.601,22.280,337.560,-0.146,6.249
500101022,63,17.546,20.931,399.443,-0.023,6.249
500101022,64,17.353,20.488,366.028,-0.061,6.249
500101022,65,16.982,20.093,384.595,-0.031,6.249
500101022,66,16.791,19.781,387.206,0.009,6.249
500101022,67,16.579,19.623,373.996,0.012,6.249
500101022,68,17.442,20.695,312.061,-0.098,6.249
500101022,69,18.114,21.691,262.921,-0.197,6.249
500101022,70,17.327,20.529,307.304,-0.075,6.249
500101022,71,17.329,20.552,303.625,-0.075,6.249
500101022,72,17.279,20.457,281.648,-0.072,6.249
500101022,73,18.698,22.250,249.648,-0.278,6.249
500101022,74,18.012,21.300,259.156,-0.170,6.249
500101022,75,16.400,19.337,338.598,0.036,6.249
500101022,76,17.401,20.517,292.681,-0.096,6.249
500101022,77,17.889,21.110,270.103,-0.160,6.249
500101022,78,16.952,20.138,267.628,-0.067,6.249
500101022,79,17.123,20.324,270.791,-0.112,6.249
500101022,80,16.431,19.692,266.180,-0.065,6.249
500101022,81,19.815,23.535,204.597,-0.557,6.249
500101022,82,16.901,20.186,233.854,-0.168,6.249
500101022,83,18.544,22.027,199.045,-0.400,6.249
500101022,84,19.569,23.226,183.089,-0.547,6.249
500101022,85,18.740,22.357,198.626,-0.413,6.249
500101022,86,19.782,23.719,197.734,-0.506,6.249
500101022,87,20.578,24.492,197.715,-0.593,6.249
500101022,88,18.954,22.653,209.025,-0.363,6.249
500101022,89,17.225,20.997,228.814,-0.163,6.249
500101022,90,18.669,22.457,217.866,-0.355,6.249
500101022,91,17.615,21.040,210.687,-0.274,6.249
500101022,92,17.120,20.428,219.289,-0.236,6.249
500101022,93,16.512,19.999,224.989,-0.144,6.249
500101022,94,16.967,20.392,221.675,-0.176,6.249
500101022,95,18.219,21.692,208.880,-0.330,6.249
500101022,96,17.989,21.328,218.235,-0.259,6.249
500101022,97,18.853,22.210,217.105,-0.350,6.249
500101022,98,18.959,22.174,216.530,-0.332,6.249
500101022,99,18.336,21.325,222.781,-0.234,6.249
500101022,100,19.632,22.711,225.902,-0.411,6.249
500101022,101,17.446,20.482,239.846,-0.175,6.249
500101022,102,17.806,20.862,210.256,-0.260,6.249
500101022,103,18.134,21.172,169.169,-0.344,6.249
500101022,104,19.111,22.271,148.145,-0.541,6.249
500101022,105,15.898,19.132,154.819,-0.175,6.249
500101022,106,18.910,22.070,140.360,-0.600,6.249
500101022,107,19.270,22.530,122.853,-0.676,6.249
500101022,108,19.215,22.719,113.750,-0.654,6.249
500101022,109,21.281,25.230,115.308,-0.866,6.249
500101022,110,21.174,25.542,115.868,-0.741,6.249
500101022,111,21.490,26.124,119.546,-0.730,6.249
500101022,112,24.434,29.171,110.566,-1.145,6.249
500101022,113,22.305,27.052,114.867,-0.833,6.249
500101022,114,23.319,28.174,112.456,-0.956,6.249
500101022,115,21.029,25.636,116.300,-0.624,6.249
500101022,116,22.091,26.836,113.997,-0.815,6.249
500101022,117,19.040,23.635,112.815,-0.425,6.249
500101022,118,22.310,27.055,109.182,-0.871,6.249
500101022,119,20.993,25.678,117.218,-0.637,6.249
500101022,120,20.979,25.649,122.738,-0.589,6.249
